FID,OBJECTID,ZIPCODE_x,ZIP,TOOLTIP,NLA_URL,ZIP_INT,ZIPCODE_y,PERCENTAGE,percenta_1,Shape__Area,Shape__Length
47,47,90049,90049,Zip Code: 90049,navigatela/reports/zipcode_county_report.cfm?pk=90049,90049,90049,0.2908%,0.2908,57905683.5859375,48773.2723404658
48,48,90056,90056,Zip Code: 90056,navigatela/reports/zipcode_county_report.cfm?pk=90056,90056,90056,0.3635%,0.3635,5931203.48828125,13663.7798786913
49,49,90057,90057,Zip Code: 90057,navigatela/reports/zipcode_county_report.cfm?pk=90057,90057,90057,0.8361%,0.8361,3516185.84765625,9651.99738509396
50,50,90058,90058,Zip Code: 90058,navigatela/reports/zipcode_county_report.cfm?pk=90058,90058,90058,0.1454%,0.1454,17840143.3085938,34092.1457166863
51,51,90059,90059,Zip Code: 90059,navigatela/reports/zipcode_county_report.cfm?pk=90059,90059,90059,0.4726%,0.4726,12603692.1171875,24364.1030086384
52,52,90061,90061,Zip Code: 90061,navigatela/reports/zipcode_county_report.cfm?pk=90061,90061,90061,0.3272%,0.3272,10362035.390625,19228.4136156748
53,53,90062,90062,Zip Code: 90062,navigatela/reports/zipcode_county_report.cfm?pk=90062,90062,90062,0.9088%,0.9088,7120981.9609375,13511.3150192456
54,54,90063,90063,Zip Code: 90063,navigatela/reports/zipcode_county_report.cfm?pk=90063,90063,90063,0.9088%,0.9088,12675404.8203125,19911.6913094011
55,55,90064,90064,Zip Code: 90064,navigatela/reports/zipcode_county_report.cfm?pk=90064,90064,90064,0.1091%,0.1091,14975528.3398438,24188.6720510095
56,56,90065,90065,Zip Code: 90065,navigatela/reports/zipcode_county_report.cfm?pk=90065,90065,90065,2.1810%,2.181,19752566.7460938,30656.2401142506
57,57,90066,90066,Zip Code: 90066,navigatela/reports/zipcode_county_report.cfm?pk=90066,90066,90066,0.5089%,0.5089,18905942.9375,25727.4540305631
58,58,90067,90067,Zip Code: 90067,navigatela/reports/zipcode_county_report.cfm?pk=90067,90067,90067,0.0364%,0.0364,1404936.640625,5809.59645632434
59,59,90068,90068,Zip Code: 90068,navigatela/reports/zipcode_county_report.cfm?pk=90068,90068,90068,0.1454%,0.1454,27944898.7070313,31814.2279823844
60,60,90069,90069,Zip Code: 90069,navigatela/reports/zipcode_county_report.cfm?pk=90069,90069,90069,0.1091%,0.1091,8162603.484375,16648.8071313813
61,61,90071,90071,Zip Code: 90071,navigatela/reports/zipcode_county_report.cfm?pk=90071,90071,90071,0.0364%,0.0364,548247.23828125,3223.45238498155
62,62,90073,90073,Zip Code: 90073,navigatela/reports/zipcode_county_report.cfm?pk=90073,90073,0, ,0.0,2406955.27734375,10084.2518690309
63,63,90077,90077,Zip Code: 90077,navigatela/reports/zipcode_county_report.cfm?pk=90077,90077,0, ,0.0,27406152.1914063,33237.2011410052
64,64,90089,90089,Zip Code: 90089,navigatela/reports/zipcode_county_report.cfm?pk=90089,90089,0, ,0.0,974660.48046875,4511.42851596504
65,65,90094,90094,Zip Code: 90094,navigatela/reports/zipcode_county_report.cfm?pk=90094,90094,90094,0.1091%,0.1091,4567541.51171875,18183.5749927853
66,66,90095,90095,Zip Code: 90095,navigatela/reports/zipcode_county_report.cfm?pk=90095,90095,0, ,0.0,1228698.49609375,4979.80494471584
67,67,90201,90201,Zip Code: 90201,navigatela/reports/zipcode_county_report.cfm?pk=90201,90201,90201,0.3272%,0.3272,23807440.9335938,33652.1777861231
68,68,90210,90210,Zip Code: 90210,navigatela/reports/zipcode_county_report.cfm?pk=90210,90210,90210,0.0727%,0.0727,41031884.40625,39826.5070883058
69,69,90211,90211,Zip Code: 90211,navigatela/reports/zipcode_county_report.cfm?pk=90211,90211,0, ,0.0,2658077.14453125,8988.28493623073
70,70,90212,90212,Zip Code: 90212,navigatela/reports/zipcode_county_report.cfm?pk=90212,90212,0, ,0.0,3415022.8828125,9547.09166527487
71,71,90220,90220,Zip Code: 90220,navigatela/reports/zipcode_county_report.cfm?pk=90220,90220,90220,0.1091%,0.1091,25548231.03125,28151.9442034581
72,72,90221,90221,Zip Code: 90221,navigatela/reports/zipcode_county_report.cfm?pk=90221,90221,90221,0.4362%,0.4362,20184331.2070313,31102.4299390376
73,73,90222,90222,Zip Code: 90222,navigatela/reports/zipcode_county_report.cfm?pk=90222,90222,90222,0.1818%,0.1818,9720716.83203125,16663.5886826375
74,74,90230,90230,Zip Code: 90230,navigatela/reports/zipcode_county_report.cfm?pk=90230,90230,90230,0.2545%,0.2545,16337538.3867188,24642.3909387029
75,75,90232,90232,Zip Code: 90232,navigatela/reports/zipcode_county_report.cfm?pk=90232,90232,0, ,0.0,8437266.33984375,20987.7119567282
76,76,90240,90240,Zip Code: 90240,navigatela/reports/zipcode_county_report.cfm?pk=90240,90240,90240,0.1091%,0.1091,11656395.5742188,19946.4122376725
77,77,90241,90241,Zip Code: 90241,navigatela/reports/zipcode_county_report.cfm?pk=90241,90241,90241,0.1454%,0.1454,18872831.5390625,27905.9043782244
78,78,90242,90242,Zip Code: 90242,navigatela/reports/zipcode_county_report.cfm?pk=90242,90242,90242,0.2908%,0.2908,16769473.546875,25827.2472102713
79,79,90245,90245,Zip Code: 90245,navigatela/reports/zipcode_county_report.cfm?pk=90245,90245,0, ,0.0,20662272.6796875,21067.873458434
80,80,90247,90247,Zip Code: 90247,navigatela/reports/zipcode_county_report.cfm?pk=90247,90247,90247,0.3999%,0.3999,14006203.0742188,22569.0106790539
81,81,90248,90248,Zip Code: 90248,navigatela/reports/zipcode_county_report.cfm?pk=90248,90248,90248,0.1091%,0.1091,17696867.203125,33870.7830468928
82,82,90249,90249,Zip Code: 90249,navigatela/reports/zipcode_county_report.cfm?pk=90249,90249,90249,0.2181%,0.2181,11404671.8867188,17747.5128795643
83,83,90250,90250,Zip Code: 90250,navigatela/reports/zipcode_county_report.cfm?pk=90250,90250,90250,0.5089%,0.5089,25006122.53125,32935.2977155138
84,84,90254,90254,Zip Code: 90254,navigatela/reports/zipcode_county_report.cfm?pk=90254,90254,0, ,0.0,5437186.08984375,10461.6295295573
85,85,90255,90255,Zip Code: 90255,navigatela/reports/zipcode_county_report.cfm?pk=90255,90255,90255,0.5453%,0.5453,14075607.9765625,26589.5993653902
86,86,90260,90260,Zip Code: 90260,navigatela/reports/zipcode_county_report.cfm?pk=90260,90260,90260,0.0364%,0.0364,9720083.92578125,18250.1682286599
87,87,90261,90261,Zip Code: 90261,navigatela/reports/zipcode_county_report.cfm?pk=90261,90261,0, ,0.0,75875.8203125,1185.11271463657
88,88,90262,90262,Zip Code: 90262,navigatela/reports/zipcode_county_report.cfm?pk=90262,90262,90262,0.2908%,0.2908,18573487.4296875,28568.1949187217
89,89,90263,90263,Zip Code: 90263,navigatela/reports/zipcode_county_report.cfm?pk=90263,90263,0, ,0.0,1550989.2265625,7555.87306320817
